Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Metal Category,Carci0gen,Unit of Measure,Total Releases
221112,MERCURY,1,1,1,0,Pounds,25.02
221112,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,2366
221112,ZINC COMPOUNDS,0,1,1,0,Pounds,19529
332999,LEAD COMPOUNDS,1,1,1,0,Pounds,0.81419
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,59
424710,LEAD,1,1,1,1,Pounds,0.18
424710,N-HEXANE,1,0,0,0,Pounds,0
331421,COPPER,0,1,1,0,Pounds,0.1
221112,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.02
221112,MERCURY,1,1,1,0,Pounds,9.69
221112,N-HEXANE,1,0,0,0,Pounds,0
221112,NAPHTHALENE,1,0,0,0,Pounds,63.88
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,6.57
325620,FORMALDEHYDE,1,0,0,1,Pounds,1288
311513,NITRATE COMPOUNDS,0,0,0,0,Pounds,5
311513,NITRIC ACID,0,0,0,0,Pounds,15
424710,NAPHTHALENE,1,0,0,0,Pounds,11
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,4.67
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,237
424710,NAPHTHALENE,1,0,0,0,Pounds,23
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,3
424710,BENZENE,1,0,0,1,Pounds,871
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.34
332410,COPPER,0,1,1,0,Pounds,0
334411,LEAD COMPOUNDS,1,1,1,0,Pounds,1850
321219,LEAD COMPOUNDS,1,1,1,0,Pounds,13.97
321219,METHANOL,1,0,0,0,Pounds,6398
327999,LITHIUM CARBONATE,0,1,2,0,Pounds,1305.74
327999,MANGANESE,1,1,1,0,Pounds,561.84
332999,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,1,0,Pounds,61
332999,NICKEL COMPOUNDS,1,1,1,0,Pounds,47
332999,TERT-BUTYL ALCOHOL,0,0,0,0,Pounds,14937
311514,TOLUENE,1,0,0,0,Pounds,98300
331512,CHROMIUM,1,1,1,1,Pounds,0
331512,NICKEL,1,1,1,1,Pounds,0
424710,NAPHTHALENE,1,0,0,0,Pounds,21
424710,TOLUENE,1,0,0,0,Pounds,1524
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,1232
332992,ANTIMONY,1,1,1,0,Pounds,0
332992,CHROMIUM,1,1,1,1,Pounds,5627
332992,COPPER,0,1,1,0,Pounds,2560
332992,NICKEL,1,1,1,1,Pounds,95
424710,LEAD COMPOUNDS,1,1,1,0,Pounds,0.2
335312,COPPER,0,1,1,0,Pounds,0
332912,LEAD,1,1,1,1,Pounds,0
331112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,13
928110,ALUMINUM (FUME OR DUST),0,1,4,0,Pounds,0
928110,COPPER COMPOUNDS,0,1,1,0,Pounds,80805
928110,LEAD COMPOUNDS,1,1,1,0,Pounds,48639
336413,COPPER,0,1,1,0,Pounds,5
339999,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,11
339999,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,28
339999,N-BUTYL ALCOHOL,0,0,0,0,Pounds,15
339999,N-HEXANE,1,0,0,0,Pounds,476
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.21
424710,ETHYLBENZENE,1,0,0,0,Pounds,142
424710,BENZENE,1,0,0,1,Pounds,540
221112,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,90763
221112,LEAD COMPOUNDS,1,1,1,0,Pounds,268.68
221112,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,33688
331421,COPPER,0,1,1,0,Pounds,0.1
333298,NICKEL COMPOUNDS,1,1,1,0,Pounds,7
339944,TOLUENE,1,0,0,0,Pounds,33200
339944,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,500
339999,TOLUENE,1,0,0,0,Pounds,413
332991,CHROMIUM,1,1,1,1,Pounds,99
424710,N-HEXANE,1,0,0,0,Pounds,896
424710,NAPHTHALENE,1,0,0,0,Pounds,15
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.99
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,592
334220,COPPER,0,1,1,0,Pounds,790.9
334220,LEAD,1,1,1,1,Pounds,41.1
316110,CHROMIUM,1,1,1,1,Pounds,2034
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.09
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.063
424710,TOLUENE,1,0,0,0,Pounds,35.89
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,10.77
325510,TOLUENE,1,0,0,0,Pounds,970
325510,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,1647
327390,LEAD,1,1,1,1,Pounds,0.0014
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.109
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.128
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.0641
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.052
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.1341
424710,BENZENE,1,0,0,1,Pounds,146.72
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,ETHYLBENZENE,1,0,0,0,Pounds,14.56
424710,METHYL TERT-BUTYL ETHER,1,0,0,0,Pounds,147.55
424710,NAPHTHALENE,1,0,0,0,Pounds,54.07
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,TOLUENE,1,0,0,0,Pounds,303.95
424710,CUMENE,1,0,0,0,Pounds,10.13
311513,NITRIC ACID,0,0,0,0,Pounds,0
327215,LEAD,1,1,1,1,Pounds,99.14
325991,HEXACHLOROBENZENE,1,0,0,1,Pounds,5.839
325991,METHYL ISOBUTYL KETONE,1,0,0,0,Pounds,260
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,103.79
424710,ETHYLBENZENE,1,0,0,0,Pounds,9.71
424710,N-HEXANE,1,0,0,0,Pounds,1377.11
424710,NAPHTHALENE,1,0,0,0,Pounds,13.54
424710,TOLUENE,1,0,0,0,Pounds,274.83
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,72.28
334412,AMMONIA,0,0,0,0,Pounds,745
334412,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,1832.5
334412,COPPER COMPOUNDS,0,1,1,0,Pounds,482
334412,FORMALDEHYDE,1,0,0,1,Pounds,133.8
334412,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,4066
334412,NICKEL COMPOUNDS,1,1,1,0,Pounds,318.1
334412,NITRATE COMPOUNDS,0,0,0,0,Pounds,1763.3
334412,NITRIC ACID,0,0,0,0,Pounds,378.72
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,10
424710,BENZENE,1,0,0,1,Pounds,206
424710,ETHYLBENZENE,1,0,0,0,Pounds,25
424710,STYRENE,1,0,0,1,Pounds,1
424710,TOLUENE,1,0,0,0,Pounds,623
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,135
325320,DAZOMET,0,0,0,0,Pounds,0
325320,METHAM SODIUM,0,0,0,0,Pounds,0
424690,ACRYLIC ACID,1,0,0,0,Pounds,0
424690,QUI0LINE,1,0,0,0,Pounds,0
424710,CYCLOHEXANE,0,0,0,0,Pounds,10
325510,COPPER,0,1,1,0,Pounds,5
325510,LEAD COMPOUNDS,1,1,1,0,Pounds,15.95
325510,SILVER,0,1,1,0,Pounds,4
332710,COPPER,0,1,1,0,Pounds,0
334413,HYDROGEN FLUORIDE,1,0,0,0,Pounds,250
334413,NITRATE COMPOUNDS,0,0,0,0,Pounds,10
336350,NICKEL,1,1,1,1,Pounds,250
326150,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,2396
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,111
424710,BENZENE,1,0,0,1,Pounds,368
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,LEAD COMPOUNDS,1,1,1,0,Pounds,0
424710,N-HEXANE,1,0,0,0,Pounds,683
331419,LEAD,1,1,1,1,Pounds,0
325998,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,5
325998,METHANOL,1,0,0,0,Pounds,10
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.0919
424710,TOLUENE,1,0,0,0,Pounds,44.72
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,N-HEXANE,1,0,0,0,Pounds,336.17
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.1881
424710,TOLUENE,1,0,0,0,Pounds,67.94
334513,LEAD,1,1,1,1,Pounds,13.4
325510,N-BUTYL ALCOHOL,0,0,0,0,Pounds,100
325510,TOLUENE,1,0,0,0,Pounds,716
325510,ZINC (FUME OR DUST),0,1,4,0,Pounds,40
321999,LEAD,1,1,1,1,Pounds,39
311514,AMMONIA,0,0,0,0,Pounds,10445
424710,NAPHTHALENE,1,0,0,0,Pounds,8
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
424710,STYRENE,1,0,0,1,Pounds,5
424710,TOLUENE,1,0,0,0,Pounds,689
326150,MIXTURE,0,0,0,0,Pounds,10
424710,ETHYLBENZENE,1,0,0,0,Pounds,255
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,255
322130,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.206
322130,MERCURY,1,1,1,0,Pounds,0.5236
322130,POLYCHLORINATED BIPHENYLS,1,0,0,1,Pounds,2.82
324191,LEAD COMPOUNDS,1,1,1,0,Pounds,9332.37
324191,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,24320
324191,TETRACHLOROETHYLENE,1,0,0,1,Pounds,23475
333512,LEAD,1,1,1,1,Pounds,36
332813,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
333132,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,995
333132,LEAD,1,1,1,1,Pounds,0
333132,TRICHLOROETHYLENE,1,0,0,1,Pounds,10188
325181,CHLORINE,1,0,0,0,Pounds,1590.3
325181,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,774.9
311511,NITRIC ACID,0,0,0,0,Pounds,0
324121,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.031
324121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,5.08
333314,LEAD COMPOUNDS,1,1,1,0,Pounds,86.04
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,205.69
424710,N-HEXANE,1,0,0,0,Pounds,476.64
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.523
424710,TOLUENE,1,0,0,0,Pounds,387.31
332991,LEAD,1,1,1,1,Pounds,0.412
332991,MANGANESE,1,1,1,0,Pounds,10
311513,NITRIC ACID,0,0,0,0,Pounds,1
331312,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,131
331312,CARBONYL SULFIDE,1,0,0,0,Pounds,357200
221112,AMMONIA,0,0,0,0,Pounds,2920
334417,COPPER,0,1,1,0,Pounds,35.69
334417,NICKEL,1,1,1,1,Pounds,307.38
334417,CADMIUM,1,1,1,1,Pounds,19
334417,CHROMIUM,1,1,1,1,Pounds,842
334417,CYANIDE COMPOUNDS,1,0,0,0,Pounds,1307
334417,LEAD,1,1,1,1,Pounds,57
335999,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,1285
335999,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,1302
336510,CHROMIUM,1,1,1,1,Pounds,125
322121,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
322121,DIOXIN AND DIOXIN-LIKE COMPOUNDS,1,0,0,0,Grams,0.01
212231,COPPER COMPOUNDS,0,1,1,0,Pounds,21
212231,LEAD COMPOUNDS,1,1,1,0,Pounds,21
212231,MERCURY COMPOUNDS,1,1,1,0,Pounds,1
221112,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.14
331312,CHROMIUM,1,1,1,1,Pounds,48
331312,COPPER,0,1,1,0,Pounds,211
331312,HYDROGEN FLUORIDE,1,0,0,0,Pounds,43770
331312,COPPER,0,1,1,0,Pounds,504
331312,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,4290.65
331312,HYDROGEN FLUORIDE,1,0,0,0,Pounds,96400
331312,LEAD,1,1,1,1,Pounds,1034
331312,MANGANESE,1,1,1,0,Pounds,152
221112,ZINC COMPOUNDS,0,1,1,0,Pounds,39496.886
212399,LEAD COMPOUNDS,1,1,1,0,Pounds,400
327310,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
332322,COPPER,0,1,1,0,Pounds,505
332322,NICKEL,1,1,1,1,Pounds,505
221112,BARIUM COMPOUNDS,0,1,3,0,Pounds,19823
221112,DIOXIN AND DIOXIN-LIKE COMPOUNDS,1,0,0,0,Grams,0.2271
221112,FORMIC ACID,0,0,0,0,Pounds,429
221112,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,50962
221112,LEAD COMPOUNDS,1,1,1,0,Pounds,1030
221112,MANGANESE COMPOUNDS,1,1,1,0,Pounds,13237
221112,MERCURY COMPOUNDS,1,1,1,0,Pounds,88
221112,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,33829
334417,MERCURY,1,1,1,0,Pounds,0
334417,NITRATE COMPOUNDS,0,0,0,0,Pounds,144020
334417,NITRIC ACID,0,0,0,0,Pounds,3501
334417,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,4727
334417,TRICHLOROETHYLENE,1,0,0,1,Pounds,2357
331316,DIISOCYANATES,1,0,0,0,Pounds,0
331316,DIMETHYL PHTHALATE,1,0,0,0,Pounds,883
331316,N-BUTYL ALCOHOL,0,0,0,0,Pounds,1156
331316,NITRATE COMPOUNDS,0,0,0,0,Pounds,18409
331316,SODIUM NITRITE,0,1,2,0,Pounds,5297
331316,TOLUENE,1,0,0,0,Pounds,3881
221112,LEAD,1,1,1,1,Pounds,293
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,28
221112,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,57005
325211,"4,4'-ISOPROPYLIDENEDIPHE0L",0,0,0,0,Pounds,15
325211,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,61
325211,ETHYLBENZENE,1,0,0,0,Pounds,2732
325211,METHANOL,1,0,0,0,Pounds,5580
325211,METHYL ISOBUTYL KETONE,1,0,0,0,Pounds,15
325211,N-BUTYL ALCOHOL,0,0,0,0,Pounds,15
325211,TOLUENE,1,0,0,0,Pounds,144
322121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.00341
322121,BARIUM,0,1,3,0,Pounds,10697
322121,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
322121,ZINC COMPOUNDS,0,1,1,0,Pounds,14584
325211,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,12360
325211,ZINC COMPOUNDS,0,1,1,0,Pounds,4592
221112,ARSENIC COMPOUNDS,1,1,1,0,Pounds,19368.47
221112,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,1,0,Pounds,12721
221112,COPPER COMPOUNDS,0,1,1,0,Pounds,10025.84
221112,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,79579
221112,LEAD COMPOUNDS,1,1,1,0,Pounds,4771
334111,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,1890
331492,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
331492,NITRIC ACID,0,0,0,0,Pounds,301
221112,NICKEL COMPOUNDS,1,1,1,0,Pounds,7716
221112,VANADIUM COMPOUNDS,0,1,1,0,Pounds,24247
221112,ZINC COMPOUNDS,0,1,1,0,Pounds,19550
336322,LEAD,1,1,1,1,Pounds,10.7
331492,SILVER,0,1,1,0,Pounds,0.1
221112,MERCURY COMPOUNDS,1,1,1,0,Pounds,143.265
424690,CHLORODIFLUOROMETHANE,0,0,0,0,Pounds,62030
424690,DICHLORODIFLUOROMETHANE,0,0,0,0,Pounds,2111
424690,TRICHLOROFLUOROMETHANE,0,0,0,0,Pounds,1200
327999,DICYCLOPENTADIENE,0,0,0,0,Pounds,0
327999,MALEIC ANHYDRIDE,1,0,0,0,Pounds,3.5
327999,STYRENE,1,0,0,1,Pounds,81
327999,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,994
325188,LEAD COMPOUNDS,1,1,1,0,Pounds,40
325188,NITRATE COMPOUNDS,0,0,0,0,Pounds,87
325199,N-BUTYL ALCOHOL,0,0,0,0,Pounds,510
325199,NITRATE COMPOUNDS,0,0,0,0,Pounds,2150
324191,ZINC COMPOUNDS,0,1,1,0,Pounds,2.117
323119,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,108
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,116
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.82
424710,N-HEXANE,1,0,0,0,Pounds,0
424710,NAPHTHALENE,1,0,0,0,Pounds,500
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,75.68
334418,LEAD,1,1,1,1,Pounds,0.6
311919,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
311919,NITRIC ACID,0,0,0,0,Pounds,0
311119,ETHYLENE GLYCOL,1,0,0,0,Pounds,2.8
311119,ETHYLENE OXIDE,1,0,0,1,Pounds,7
335991,COPPER,0,1,1,0,Pounds,102.05
332999,CHROMIUM,1,1,1,1,Pounds,11.14
332999,NICKEL,1,1,1,1,Pounds,12.23
332431,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,92917
332431,COPPER COMPOUNDS,0,1,1,0,Pounds,766
332431,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,110
332510,LEAD COMPOUNDS,1,1,1,0,Pounds,0.43
332510,ZINC COMPOUNDS,0,1,1,0,Pounds,319.8
332811,AMMONIA,0,0,0,0,Pounds,6783
325910,TOLUENE,1,0,0,0,Pounds,5770
325510,TOLUENE,1,0,0,0,Pounds,124
325510,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,865
325188,AMMONIA,0,0,0,0,Pounds,11300
325188,LEAD COMPOUNDS,1,1,1,0,Pounds,135.344
322222,TOLUENE,1,0,0,0,Pounds,17094
322222,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,8235
334416,LEAD,1,1,1,1,Pounds,3.47
332912,CHROMIUM,1,1,1,1,Pounds,240
332912,LEAD,1,1,1,1,Pounds,27
332912,NICKEL,1,1,1,1,Pounds,0
332812,LEAD COMPOUNDS,1,1,1,0,Pounds,1072
332812,ZINC COMPOUNDS,0,1,1,0,Pounds,3571
332811,BARIUM COMPOUNDS,0,1,3,0,Pounds,0
332811,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,835
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,1010
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.1
424710,NAPHTHALENE,1,0,0,0,Pounds,260
333911,COPPER,0,1,1,0,Pounds,750
325199,AMMONIA,0,0,0,0,Pounds,5
325199,BENZOYL CHLORIDE,0,0,0,0,Pounds,115
325199,DIBUTYL PHTHALATE,1,0,0,0,Pounds,2
325199,ETHYLBENZENE,1,0,0,0,Pounds,42
325199,ZINC COMPOUNDS,0,1,1,0,Pounds,178
325920,COPPER,0,1,1,0,Pounds,26.6
325920,LEAD COMPOUNDS,1,1,1,0,Pounds,381.52
325920,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
311511,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
311511,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
339112,ETHYLENE GLYCOL,1,0,0,0,Pounds,0
339112,ETHYLENE OXIDE,1,0,0,1,Pounds,474
326199,N-METHYL-2-PYRROLIDONE,0,0,0,0,Pounds,255
332618,COPPER,0,1,1,0,Pounds,0.9
332618,SILVER,0,1,1,0,Pounds,3.1
326299,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
322121,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
322121,DECABROMODIPHENYL OXIDE,0,0,0,0,Pounds,2387
322121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
334419,LEAD,1,1,1,1,Pounds,0
335932,LEAD,1,1,1,1,Pounds,1.16
325199,DIMETHYLAMINE,0,0,0,0,Pounds,50
325992,ACETONITRILE,1,0,0,0,Pounds,5492
325992,AMMONIA,0,0,0,0,Pounds,57008
325992,ANILINE,1,0,0,0,Pounds,642
325992,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,3629
325992,CRESOL (MIXED ISOMERS),1,0,0,0,Pounds,763
325992,DICHLOROMETHANE,1,0,0,1,Pounds,111599
325992,DIMETHYLAMINE,0,0,0,0,Pounds,358
325992,ETHYLENE GLYCOL,1,0,0,0,Pounds,2796
325992,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,766593
325992,HYDROGEN FLUORIDE,1,0,0,0,Pounds,58606
325992,"N,N-DIMETHYLFORMAMIDE",1,0,0,1,Pounds,4633
325412,TOLUENE,1,0,0,0,Pounds,12833
325199,PHE0L,1,0,0,0,Pounds,76
424690,METHANOL,1,0,0,0,Pounds,768
424690,METHYL ISOBUTYL KETONE,1,0,0,0,Pounds,587
424690,TOLUENE,1,0,0,0,Pounds,797
221112,NAPHTHALENE,1,0,0,0,Pounds,24
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,1.7
221112,N-HEXANE,1,0,0,0,Pounds,0.5
221112,NAPHTHALENE,1,0,0,0,Pounds,13
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,15
221112,N-HEXANE,1,0,0,0,Pounds,0.2
221112,NAPHTHALENE,1,0,0,0,Pounds,5
221112,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,38
325992,N-BUTYL ALCOHOL,0,0,0,0,Pounds,6361
325992,N-METHYL-2-PYRROLIDONE,0,0,0,0,Pounds,116321
325992,NITRATE COMPOUNDS,0,0,0,0,Pounds,1224345
325992,NITRIC ACID,0,0,0,0,Pounds,315
325992,PYRIDINE,0,0,0,0,Pounds,1060
325992,TOLUENE,1,0,0,0,Pounds,13053
325992,TRIETHYLAMINE,1,0,0,0,Pounds,3637
325611,ETHYLENE GLYCOL,1,0,0,0,Pounds,0
325611,TETRACHLOROETHYLENE,1,0,0,1,Pounds,0
325611,ZINC (FUME OR DUST),0,1,4,0,Pounds,0
334418,LEAD COMPOUNDS,1,1,1,0,Pounds,2.6
325520,DICHLOROMETHANE,1,0,0,1,Pounds,13300
325520,N-HEXANE,1,0,0,0,Pounds,4300
325520,TOLUENE,1,0,0,0,Pounds,8750
334414,LEAD COMPOUNDS,1,1,1,0,Pounds,23
336350,COPPER,0,1,1,0,Pounds,5
336350,NICKEL,1,1,1,1,Pounds,5
336350,AMMONIA,0,0,0,0,Pounds,4025
333618,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
325412,"1,2-DICHLOROETHANE",1,0,0,1,Pounds,17.52
325412,ACETONITRILE,1,0,0,0,Pounds,7.56
221112,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,129.6
541712,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.00475
541712,LEAD,1,1,1,1,Pounds,105633.17
541712,MERCURY,1,1,1,0,Pounds,298.401
541712,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.018
333319,NITRIC ACID,0,0,0,0,Pounds,2.52
332813,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,325
332410,CHROMIUM,1,1,1,1,Pounds,173.16
332410,COPPER,0,1,1,0,Pounds,548.975
332410,MIXTURE,0,0,0,0,Pounds,0.973
332410,MANGANESE,1,1,1,0,Pounds,102.87
327993,FORMALDEHYDE,1,0,0,1,Pounds,10638
334119,LEAD,1,1,1,1,Pounds,92.092
334413,AMMONIA,0,0,0,0,Pounds,2362
334413,ETHYLENE GLYCOL,1,0,0,0,Pounds,300
334413,FLUORINE,0,0,0,0,Pounds,13
334413,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,3900
334413,LEAD,1,1,1,1,Pounds,3562
334413,METHANOL,1,0,0,0,Pounds,1800
334413,METHYL ISOBUTYL KETONE,1,0,0,0,Pounds,2000
334413,N-METHYL-2-PYRROLIDONE,0,0,0,0,Pounds,924
334413,NITRATE COMPOUNDS,0,0,0,0,Pounds,873662
334413,OZONE,0,0,0,0,Pounds,10
334413,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
334413,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,3700
325188,LEAD COMPOUNDS,1,1,1,0,Pounds,0.05
325188,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,0
334415,LEAD COMPOUNDS,1,1,1,0,Pounds,0
332813,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,1,0,Pounds,0
332813,COPPER,0,1,1,0,Pounds,0
332813,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,0
332813,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,0
331221,MANGANESE,1,1,1,0,Pounds,13
331315,CHROMIUM,1,1,1,1,Pounds,395
331315,DIOXIN AND DIOXIN-LIKE COMPOUNDS,1,0,0,0,Grams,1.8235303
331315,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,26919
331315,LEAD,1,1,1,1,Pounds,51.8
