Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,5.2 Stack Air,On-site Release Total,Off-Site Release Total,Total Releases
562112,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
332112,COBALT,YES,YES,YES,Pounds,12,12,0,12
335931,COPPER,NO,YES,NO,Pounds,0,0,0,0.5375
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,124.24,124.24,0,124.24
424710,ETHYLBENZENE,YES,NO,NO,Pounds,71.91,71.91,0,71.91
424710,NAPHTHALENE,YES,NO,NO,Pounds,137.12,186.5,0,186.5
424710,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,626.84,630.56,0,630.56
334419,MANGANESE COMPOUNDS,YES,YES,NO,Pounds,250,505,5592,6347
324191,BARIUM COMPOUNDS,NO,YES,NO,Pounds,0,14,0,14
324191,ZINC COMPOUNDS,NO,YES,NO,Pounds,0,0,0,25.11
324191,ZINC COMPOUNDS,NO,YES,NO,Pounds,0,5.41,0,5.41
311119,ETHYLENE GLYCOL,YES,NO,NO,Pounds,0,2.8,0,2.8
311119,ETHYLENE OXIDE,YES,NO,YES,Pounds,5.2,7,0,7
332812,TRICHLOROETHYLENE,YES,NO,YES,Pounds,3093,8591,0,8591
316110,CHROMIUM,YES,YES,YES,Pounds,0,0,1899,2149
311511,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
311511,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
311511,NITRIC ACID,NO,NO,NO,Pounds,0,0,0,0
311511,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
331221,MANGANESE,YES,YES,NO,Pounds,0,0,22,22
331221,NICKEL,YES,YES,YES,Pounds,0,0,16,16
336413,COPPER,NO,YES,NO,Pounds,0,0,0,5
332431,FORMALDEHYDE,YES,NO,YES,Pounds,2100,2101,0,2101
334412,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,0,1.8
332812,LEAD,YES,YES,YES,Pounds,6,61,0,61
332431,CERTAIN GLYCOL ETHERS,YES,NO,NO,Pounds,15000,28000,0,28000
332431,FORMALDEHYDE,YES,NO,YES,Pounds,270,272,0,272
332431,LEAD,YES,YES,YES,Pounds,0,0,2.53,4.93
334418,LEAD,YES,YES,YES,Pounds,0,0,0,0
334418,LEAD,YES,YES,YES,Pounds,0,0,0,0
313230,ANTIMONY COMPOUNDS,YES,YES,NO,Pounds,0,0,9161,11328
332721,CHROMIUM,YES,YES,YES,Pounds,0,0,0.05,0.05
332721,LEAD,YES,YES,YES,Pounds,0,0,0.1,0.1
313230,DECABROMODIPHENYL OXIDE,NO,NO,NO,Pounds,0,0,18323,18323
311411,CHLORINE,YES,NO,NO,Pounds,0,5,0,5
325211,ALLYL CHLORIDE,YES,NO,NO,Pounds,17,22,0,22
325211,AMMONIA,NO,NO,NO,Pounds,156,406,0,406
325211,ETHYLBENZENE,YES,NO,NO,Pounds,18,23,0,23
325211,METHANOL,YES,NO,NO,Pounds,3997,4247,0,4247
325211,METHYL ISOBUTYL KETONE,YES,NO,NO,Pounds,5,10,0,10
325211,O-CRESOL,YES,NO,NO,Pounds,250,500,0,500
325211,TRIETHYLAMINE,YES,NO,NO,Pounds,250,255,0,255
325211,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,464,714,0,714
326199,TRICHLOROETHYLENE,YES,NO,YES,Pounds,33954,33954,0,33954
311512,NITRIC ACID,NO,NO,NO,Pounds,0,0,0,0
311513,CHLORINE,YES,NO,NO,Pounds,1887,2887,0,2887
311513,NITRIC ACID,NO,NO,NO,Pounds,1045,1050,0,1050
327999,LEAD COMPOUNDS,YES,YES,NO,Pounds,0.1,0.1,0,0.1
327999,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
221112,AMMONIA,NO,NO,NO,Pounds,40967,40967,0,40967
332811,AMMONIA,NO,NO,NO,Pounds,0,0,0,0
325412,PROPYLENE OXIDE,YES,NO,YES,Pounds,174,424,0,424
332313,LEAD,YES,YES,YES,Pounds,0,0,0,0
331512,CHROMIUM,YES,YES,YES,Pounds,0,0,0,0
331512,NICKEL,YES,YES,YES,Pounds,0,0,0,0
212231,CADMIUM COMPOUNDS,YES,YES,NO,Pounds,0,26,0,26
212231,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,26,0,26
332812,ZINC COMPOUNDS,NO,YES,NO,Pounds,67,67,293,360
424690,ETHYLENE GLYCOL,YES,NO,NO,Pounds,0,2,0,2
424690,N-BUTYL ALCOHOL,NO,NO,NO,Pounds,13,165,0,165
424690,STYRENE,YES,NO,YES,Pounds,7,11,0,11
424690,TOLUENE,YES,NO,NO,Pounds,238,393,0,393
336413,COPPER,NO,YES,NO,Pounds,0,0,0,0
212231,MERCURY COMPOUNDS,YES,YES,NO,Pounds,0,1,0,1
212231,ZINC COMPOUNDS,NO,YES,NO,Pounds,0,1184,0,1184
922140,LEAD,YES,YES,YES,Pounds,0,619.63,0,619.63
928110,LEAD,YES,YES,YES,Pounds,0,6804.9,0,6804.9
311513,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0.00139,0.00139,0,0.00139
311513,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,1602,0,1602
311513,NITRIC ACID,NO,NO,NO,Pounds,0,0,0,0
325611,METHANOL,YES,NO,NO,Pounds,250,500,0,500
334411,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,2200,2200
311919,PERACETIC ACID,NO,NO,NO,Pounds,0,0,0,0
313320,N-METHYL-2-PYRROLIDONE,NO,NO,NO,Pounds,799.02,799.02,0,799.02
313320,TOLUENE,YES,NO,NO,Pounds,8989.17,8989.17,0,8989.17
334418,COPPER,NO,YES,NO,Pounds,0,0,260,266.97
334418,LEAD,YES,YES,YES,Pounds,6.1,6.1,34,41.22
332510,CHROMIUM,YES,YES,YES,Pounds,0,0,0,7
332510,MANGANESE,YES,YES,NO,Pounds,0,0,0,0
332510,NICKEL,YES,YES,YES,Pounds,0,0,0,5
332992,CHROMIUM,YES,YES,YES,Pounds,0,0,500,1602
332992,COPPER,NO,YES,NO,Pounds,0,0,80,3385
332992,LEAD,YES,YES,YES,Pounds,0,0,3580,3583
322130,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0.3,0.3
322130,MERCURY,YES,YES,NO,Pounds,0,0,1.05,1.056
322130,POLYCHLORINATED BIPHENYLS,YES,NO,YES,Pounds,0,0,5.27,5.27
331419,LEAD,YES,YES,YES,Pounds,0,0,0,0
333512,LEAD,YES,YES,YES,Pounds,0,1,17,18
311999,AMMONIA,NO,NO,NO,Pounds,0.5,5.3,0,5.3
331492,SILVER,NO,YES,NO,Pounds,0,0,0,0.1
325181,CHLORINE,YES,NO,NO,Pounds,942,1050,0,1050
325181,DIOXIN AND DIOXIN-LIKE COMPOUNDS,YES,NO,NO,Grams,0.00014,0.05014,0.3303,0.38044
325181,HEXACHLOROBENZENE,YES,NO,YES,Pounds,0,0.5,0,0.5
325181,HEXACHLOROCYCLOPENTADIENE,YES,NO,NO,Pounds,27,329,0,329
221112,AMMONIA,NO,NO,NO,Pounds,10658,10658,0,10658
331316,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,420,420,0,420
331316,DIISOCYANATES,YES,NO,NO,Pounds,0,0,0,0
331316,DIMETHYL PHTHALATE,YES,NO,NO,Pounds,513,513,0,513
331316,ETHYLBENZENE,YES,NO,NO,Pounds,662,662,0,662
331316,N-BUTYL ALCOHOL,NO,NO,NO,Pounds,1073,1073,0,1073
331316,SODIUM NITRITE,NO,YES,NO,Pounds,3,4018,0,4018
331316,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",NO,NO,NO,Pounds,216,7022,0,7022
331316,TOLUENE,YES,NO,NO,Pounds,3645,3645,0,3645
331316,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,6257,6257,0,6257
332431,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,480,555,0,555
332431,CERTAIN GLYCOL ETHERS,YES,NO,NO,Pounds,5400,6525,0,6525
332431,N-BUTYL ALCOHOL,NO,NO,NO,Pounds,2100,2570,0,2570
339999,ANTIMONY,YES,YES,NO,Pounds,8,13,33,46
339999,COPPER,NO,YES,NO,Pounds,7,12,67,79
339999,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,2,15,0,15
325510,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,2,418,0,418
424690,CHLORINE,YES,NO,NO,Pounds,0,1,0,1
424690,CHLORINE,YES,NO,NO,Pounds,1,2,0,2
316110,FORMIC ACID,NO,NO,NO,Pounds,250,500,0,500
311513,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
311513,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
311513,NITRIC ACID,NO,NO,NO,Pounds,0,0,0,0
311513,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
325181,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,787,787,0,787
311211,BROMOMETHANE,YES,NO,NO,Pounds,0,11300,0,11300
322121,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
311942,LEAD,YES,YES,YES,Pounds,6.1,6.1,276,282.1
311942,MERCURY,YES,YES,NO,Pounds,21.73,21.73,0,21.73
311942,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",NO,NO,NO,Pounds,30052.8,30052.8,0,30052.8
334412,COPPER COMPOUNDS,NO,YES,NO,Pounds,370,756,6031.1,6787.1
334412,FORMALDEHYDE,YES,NO,YES,Pounds,293,388,0,388
334412,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",NO,NO,NO,Pounds,3967,4017,0,4017
334412,TOLUENE,YES,NO,NO,Pounds,4053,4303,0,4303
332999,COPPER,NO,YES,NO,Pounds,0,0,4680,4682.88
334417,CADMIUM,YES,YES,YES,Pounds,0,17,52,69
334417,CHROMIUM,YES,YES,YES,Pounds,0,18,1921,1939
334417,COPPER,NO,YES,NO,Pounds,0,183,4346,4529
334417,MERCURY,YES,YES,NO,Pounds,0,0,0,0
334417,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,167615,0,167615
334417,NITRIC ACID,NO,NO,NO,Pounds,5797,6047,0,6047
334417,TRICHLOROETHYLENE,YES,NO,YES,Pounds,2102,2357,0,2357
335999,CUMENE,YES,NO,NO,Pounds,250,500,0,500
335999,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,5009,5014,0,5014
335312,COPPER,NO,YES,NO,Pounds,0,0,0,0
332999,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,NO,Pounds,0,0,258,263
332999,NICKEL COMPOUNDS,YES,YES,NO,Pounds,0,0,198,201
332999,TERT-BUTYL ALCOHOL,NO,NO,NO,Pounds,22406,22406,0,22406
424710,BENZENE,YES,NO,YES,Pounds,158,259,3,262
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,ETHYLBENZENE,YES,NO,NO,Pounds,40,78,1,79
424710,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
424710,N-HEXANE,YES,NO,NO,Pounds,1345,2280,15,2295
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
327310,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
334417,LEAD,YES,YES,YES,Pounds,0.06105,0.06105,0,0.06105
325414,ETHYLENE GLYCOL,YES,NO,NO,Pounds,0,0,0,0
325414,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
424690,METHANOL,YES,NO,NO,Pounds,360,373,0,373
424690,METHYL ISOBUTYL KETONE,YES,NO,NO,Pounds,248,289,0,289
424690,TOLUENE,YES,NO,NO,Pounds,302,336,0,336
424710,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,352,599,14,613
336350,AMMONIA,NO,NO,NO,Pounds,1608,1613,0,1613
336350,CHROMIUM,YES,YES,YES,Pounds,0,0,414,458
336350,SODIUM NITRITE,NO,YES,NO,Pounds,0,0,0,0
331522,LEAD,YES,YES,YES,Pounds,3.3653,3.3653,3,6.3653
221112,AMMONIA,NO,NO,NO,Pounds,50568,50568,0,50568
221112,DIOXIN AND DIOXIN-LIKE COMPOUNDS,YES,NO,NO,Grams,0.0506,0.0506,0,0.0506
311999,POTASSIUM BROMATE,NO,YES,YES,Pounds,0,250,0,250
325510,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,0,1336,0,1336
336312,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,196,196,0,196
334415,LEAD,YES,YES,YES,Pounds,0,0,0,2.368
424690,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,9,78,0,78
334414,LEAD COMPOUNDS,YES,YES,NO,Pounds,0.0008,0.0008,270,270.0008
332811,AMMONIA,NO,NO,NO,Pounds,4761,4761,0,4761
325612,NITRIC ACID,NO,NO,NO,Pounds,5,10,0,10
325188,AMMONIA,NO,NO,NO,Pounds,3557,13330,0,13330
337215,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,5455,9918,159,10077
424690,DICHLOROTETRAFLUOROETHANE (CFC-114),NO,NO,NO,Pounds,0,1802,0,1802
424690,TRICHLOROFLUOROMETHANE,NO,NO,NO,Pounds,0,14126,0,14126
336350,METHANOL,YES,NO,NO,Pounds,1800,1805,0,1805
336350,NICKEL,YES,YES,YES,Pounds,0,0,250,250
424690,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",NO,NO,NO,Pounds,0,18,0,18
332912,CHROMIUM,YES,YES,YES,Pounds,0,0,3.48,3.48
332912,LEAD,YES,YES,YES,Pounds,0,0,9.8,9.8
339944,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,250,500,0,500
311511,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
311511,NITRIC ACID,NO,NO,NO,Pounds,0,0,0,0
325188,AMMONIA,NO,NO,NO,Pounds,792,1042,0,1042
325188,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0.15
325188,NICKEL COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0.14
326199,STYRENE,YES,NO,YES,Pounds,2560,3414,0,3414
332721,COPPER,NO,YES,NO,Pounds,0,0,0.036,0.036
323110,CERTAIN GLYCOL ETHERS,YES,NO,NO,Pounds,13587,13587,0,13587
327310,DIOXIN AND DIOXIN-LIKE COMPOUNDS,YES,NO,NO,Grams,0.115,0.115,0,0.115
327310,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,56244,56244,0,56244
327310,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",NO,NO,NO,Pounds,46120,46120,0,46120
336322,LEAD,YES,YES,YES,Pounds,6.1,6.1,0,6.1
325320,BIFENTHRIN,NO,NO,NO,Pounds,0,0,0,0
325320,CREOSOTE,NO,NO,YES,Pounds,0,0,0,0
325320,METHAM SODIUM,NO,NO,NO,Pounds,0,0,0,0
325320,METHYL ISOTHIOCYANATE,NO,NO,NO,Pounds,0,0,0,0
311513,NITRIC ACID,NO,NO,NO,Pounds,3,17,0,17
928110,COPPER COMPOUNDS,NO,YES,NO,Pounds,0,69101,0,69101
928110,NITROGLYCERIN,NO,NO,NO,Pounds,0,0,0,0
333911,DIISOCYANATES,YES,NO,NO,Pounds,0,0,0,0
333911,MANGANESE,YES,YES,NO,Pounds,0,0,8,8
333911,NICKEL,YES,YES,YES,Pounds,0,0,29,29
331524,COPPER,NO,YES,NO,Pounds,0,228,0,228
331524,LEAD,YES,YES,YES,Pounds,0,0,0,0
334416,LEAD,YES,YES,YES,Pounds,0,0,15.25,15.25
339112,M-XYLENE,YES,NO,NO,Pounds,809,1123,0,1123
339112,O-XYLENE,YES,NO,NO,Pounds,921,1287,0,1287
928110,ETHYLBENZENE,YES,NO,NO,Pounds,50,100,0,100
928110,ETHYLENE GLYCOL,YES,NO,NO,Pounds,0,0,0,0
333911,COPPER,NO,YES,NO,Pounds,0,750,0,750
335999,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,5596,5596,0,5596
339113,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
339113,TOLUENE,YES,NO,NO,Pounds,292,615,0,615
334419,LEAD,YES,YES,YES,Pounds,0,0,0,0
334419,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,91,91
333911,ZINC (FUME OR DUST),NO,YES,NO,Pounds,0,250,0,250
562910,LEAD,YES,YES,YES,Pounds,0,29.5,110.75,140.25
324199,BENZENE,YES,NO,YES,Pounds,3017,6526,0,6526
324199,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,1.1,0,1.1
324199,LEAD COMPOUNDS,YES,YES,NO,Pounds,0.02,0.14,0,0.14
324199,PHENANTHRENE,YES,NO,NO,Pounds,1.1,17.1,0,17.1
324199,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,144,177,0,177
332813,LEAD,YES,YES,YES,Pounds,0,0,50,50
311612,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
311612,NITRIC ACID,NO,NO,NO,Pounds,0,0,0,0
326199,METHYL METHACRYLATE,YES,NO,NO,Pounds,193,257,0,257
327215,LEAD,YES,YES,YES,Pounds,0.42,0.42,0,0.42
311513,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,30250,0,30250
322121,ANTIMONY,YES,YES,NO,Pounds,0,488,4685,5173
322121,BARIUM,NO,YES,NO,Pounds,0,5713,6422,12135
322121,DECABROMODIPHENYL OXIDE,NO,NO,NO,Pounds,0,1386,13440,14826
322121,ZINC COMPOUNDS,NO,YES,NO,Pounds,0,8989,7557,16546
334414,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,96.5,96.5
332813,TRICHLOROETHYLENE,YES,NO,YES,Pounds,0,4895,0,4895
311514,AMMONIA,NO,NO,NO,Pounds,3,16654,0,16654
311514,TOLUENE,YES,NO,NO,Pounds,452,45212,0,45212
311513,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,34683,0,34683
311513,NITRIC ACID,NO,NO,NO,Pounds,5,10,0,10
327999,DICYCLOPENTADIENE,NO,NO,NO,Pounds,0,0,0,0
327999,ETHYLBENZENE,YES,NO,NO,Pounds,216,332,0,332
331421,COPPER,NO,YES,NO,Pounds,0,0,0,0.1
331421,NICKEL,YES,YES,YES,Pounds,0,0,0,0.1
331421,COPPER,NO,YES,NO,Pounds,0,0,0,0.1
322121,ANTIMONY,YES,YES,NO,Pounds,0,146,321,467
322121,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
313320,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,567,712,0,712
326150,TOLUENE,YES,NO,NO,Pounds,1449,2313.4,425,2738.4
326150,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,1980,1980,464,2444
325211,METHYL METHACRYLATE,YES,NO,NO,Pounds,458,837,0,837
332313,MANGANESE,YES,YES,NO,Pounds,0,12,1,13
332313,CHROMIUM,YES,YES,YES,Pounds,0,0,1,1
326150,TOLUENE,YES,NO,NO,Pounds,476,1323,9900,11223
326199,AMMONIA,NO,NO,NO,Pounds,1125,34452,0,34452
326199,PHENOL,YES,NO,NO,Pounds,17,3980,0,3980
324121,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.1,0.1,0,0.1
332313,COPPER,NO,YES,NO,Pounds,0,0,1,1
327420,LEAD COMPOUNDS,YES,YES,NO,Pounds,0.8,0.82,0,0.82
327420,MERCURY COMPOUNDS,YES,YES,NO,Pounds,25.35,25.36,0,25.36
311511,NITRIC ACID,NO,NO,NO,Pounds,0,47,0,47
562211,ASBESTOS (FRIABLE),YES,YES,YES,Pounds,0,53900,10990,64890
562211,BARIUM COMPOUNDS,NO,YES,NO,Pounds,0,79308.8,371,79679.8
562211,COPPER,NO,YES,NO,Pounds,0,44806,11998,56804
562211,DIOXIN AND DIOXIN-LIKE COMPOUNDS,YES,NO,NO,Grams,0,0.1161,1.377,1.4931
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.062,0.066,0,0.066
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.13,0.1341,0,0.1341
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.047,0.051,0,0.051
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.08,0.0842,0,0.0842
424710,BENZENE,YES,NO,YES,Pounds,122,140.39,0,140.39
424710,CUMENE,YES,NO,NO,Pounds,5,10,0,10
424710,CYCLOHEXANE,NO,NO,NO,Pounds,5,10,0,10
424710,N-HEXANE,YES,NO,NO,Pounds,302,311,0,311
424710,METHYL TERT-BUTYL ETHER,YES,NO,NO,Pounds,125,143.78,0,143.78
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.161,0.1651,0,0.1651
424710,NAPHTHALENE,YES,NO,NO,Pounds,5,10,0,10
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,5,10,0,10
331112,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,3.9,3.96,0,3.96
331112,LEAD COMPOUNDS,YES,YES,NO,Pounds,7.38,7.49,0,7.49
336370,COPPER,NO,YES,NO,Pounds,0,1,4,8
336370,MANGANESE,YES,YES,NO,Pounds,0,1,0,1
327212,LEAD COMPOUNDS,YES,YES,NO,Pounds,235,236,1710,1946.18
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.67,0.77,0,0.77
424710,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,63,73.29,0,73.29
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.13,0.1341,0,0.1341
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,5,10,0,10
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,BENZENE,YES,NO,YES,Pounds,106,123,0,123
424710,CUMENE,YES,NO,NO,Pounds,5,10,0,10
424710,CYCLOHEXANE,NO,NO,NO,Pounds,5,10,0,10
424710,METHYL TERT-BUTYL ETHER,YES,NO,NO,Pounds,108,125,0,125
424710,N-HEXANE,YES,NO,NO,Pounds,1084,1255,0,1255
424710,NAPHTHALENE,YES,NO,NO,Pounds,5,10,0,10
325992,AMMONIA,NO,NO,NO,Pounds,32000,46416,393,46809
325992,BARIUM COMPOUNDS,NO,YES,NO,Pounds,770,4423,60503,64926
325992,CERTAIN GLYCOL ETHERS,YES,NO,NO,Pounds,7,2389,876,3265
325992,CHLORINE,YES,NO,NO,Pounds,8222,8554,274,8828
325992,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,NO,Pounds,156,677,20741,21418
325992,CRESOL (MIXED ISOMERS),YES,NO,NO,Pounds,17,65,91,156
325992,DIOXIN AND DIOXIN-LIKE COMPOUNDS,YES,NO,NO,Grams,0.685233,2.512395,1.4522151,3.9646101
325992,ETHYLENE GLYCOL,YES,NO,NO,Pounds,373,379,1584,1963
325992,FORMIC ACID,NO,NO,NO,Pounds,92,142,125,267
325992,HYDROGEN FLUORIDE,YES,NO,NO,Pounds,58135,58135,0,58135
325992,MERCURY COMPOUNDS,YES,YES,NO,Pounds,20.4,21.4,6.3,27.7
325992,METHANOL,YES,NO,NO,Pounds,152734,163692,3065,166757
325992,NITRIC ACID,NO,NO,NO,Pounds,165,165,55,220
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,0,6.51,275.11,281.62
424710,BENZENE,YES,NO,YES,Pounds,87,175.1,542.4,717.5
424710,ETHYLBENZENE,YES,NO,NO,Pounds,20,34.11,813.6,847.71
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,12,48.08,134,182.08
424710,BENZENE,YES,NO,YES,Pounds,160,469.08,6,475.08
424710,N-HEXANE,YES,NO,NO,Pounds,79,188.51,1089.15,1277.66
424710,NAPHTHALENE,YES,NO,NO,Pounds,1,4.78,286.91,291.69
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
424710,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
424710,N-HEXANE,YES,NO,NO,Pounds,380,395.21,118,513.21
424710,TOLUENE,YES,NO,NO,Pounds,214,602.08,19,621.08
325992,SILVER COMPOUNDS,NO,YES,NO,Pounds,628,1658,349,2007
325992,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",NO,NO,NO,Pounds,291038,291068,0,291068
325992,TOLUENE,YES,NO,NO,Pounds,10684,11564,228,11792
325992,TRIETHYLAMINE,YES,NO,NO,Pounds,1689,2540,1112,3652
325992,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,2657,2762,606,3368
325992,ZINC COMPOUNDS,NO,YES,NO,Pounds,437,2410,16908,19318
325211,"4,4'-ISOPROPYLIDENEDIPHENOL",NO,NO,NO,Pounds,5,15,0,15
325211,CRESOL (MIXED ISOMERS),YES,NO,NO,Pounds,81,81,0,81
325211,ETHYLBENZENE,YES,NO,NO,Pounds,1455,2792,236,3028
325211,M-CRESOL,YES,NO,NO,Pounds,9,9,0,9
325211,PHENOL,YES,NO,NO,Pounds,23794,26553,9949,36502
325211,STYRENE,YES,NO,YES,Pounds,265,265,0,265
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,31,48.48,14.25,62.73
424710,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,176,388.08,31,419.08
424710,BENZENE,YES,NO,YES,Pounds,202.94,417.05,0,417.05
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,ETHYLBENZENE,YES,NO,NO,Pounds,61,106.04,0,106.04
424710,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
424710,N-HEXANE,YES,NO,NO,Pounds,165,367.48,40.25,407.73
424710,TOLUENE,YES,NO,NO,Pounds,260,610.11,0,610.11
424710,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,218,347.11,0,347.11
325211,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,8314,11764,961,12725
326122,STYRENE,YES,NO,YES,Pounds,10145,10145,0,10145
332722,CHROMIUM,YES,YES,YES,Pounds,0,0,250,255
332722,COPPER,NO,YES,NO,Pounds,0,0,250,255
332117,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,21.7,21.7
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
