Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,5.2 Stack Air,On-site Release Total,Off-Site Release Total,Total Releases
424710,METHYL TERT-BUTYL ETHER,YES,NO,NO,Pounds,0,0,0,0
424710,METHYL TERT-BUTYL ETHER,YES,NO,NO,Pounds,0,0,0,0
332313,COPPER,NO,YES,NO,Pounds,0,1,1,2
332313,NICKEL,YES,YES,YES,Pounds,0,2,1,3
424690,METHANOL,YES,NO,NO,Pounds,724,895,0,895
325992,N-BUTYL ALCOHOL,NO,NO,NO,Pounds,3531,3990,1459,5449
325199,PHOSGENE,YES,NO,NO,Pounds,0,0,0,0
424710,CUMENE,YES,NO,NO,Pounds,0,0,0,0
424710,METHYL TERT-BUTYL ETHER,YES,NO,NO,Pounds,0,0,0,0
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,0,0,0,0
424710,N-HEXANE,YES,NO,NO,Pounds,0,0,0,0
311513,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,5,5
325992,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.2,2.2,0.20003,2.40003
331492,COPPER,NO,YES,NO,Pounds,0,0,0,0
424690,METHYL METHACRYLATE,YES,NO,NO,Pounds,55,61,0,61
325510,METHANOL,YES,NO,NO,Pounds,0,5,0,5
331492,NITRIC ACID,NO,NO,NO,Pounds,0,0,0,0
424690,DICHLORODIFLUOROMETHANE,NO,NO,NO,Pounds,0,3457,0,3457
325199,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,1714,1719,0,1719
325199,PHOSGENE,YES,NO,NO,Pounds,204,209,0,209
324121,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.029,0.299,0,0.299
334511,LEAD,YES,YES,YES,Pounds,0,0,0.9,0.9
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0.1,0.4,0.5
326150,DIISOCYANATES,YES,NO,NO,Pounds,47,47,400,447
311513,NITRIC ACID,NO,NO,NO,Pounds,0,24,0,24
334417,COPPER,NO,YES,NO,Pounds,0,0,1294.98,1294.98
424710,N-HEXANE,YES,NO,NO,Pounds,250,255,0,255
325910,ETHYLENE GLYCOL,YES,NO,NO,Pounds,0,0,0,0
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,5,10,0,10
332410,LEAD,YES,YES,YES,Pounds,0,0.889,0.097,1.031
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
331492,NITRATE COMPOUNDS,NO,NO,NO,Pounds,5.6,5.6,0,5.6
424710,VINYL ACETATE,YES,NO,YES,Pounds,0,0,0,0
